section_id,section_title,section_description,id,type,text,meaning
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_18,scripted,Twerɛ w'adwen fa yei ho,Write a review for this
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_19,scripted,Kenkan adeɛ yi ho asɛm ma me,Read the product details to me
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_20,scripted,Hwehwɛ nea ɛne adeɛ sɛ,Find similar products
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_21,scripted,Kɔ beaɛ a yetua adeɛ yi ho ka.,Proceed to checkout
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_22,scripted,Tua ka seesei ara,Pay now
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_23,scripted,Tua fa mobile money no so,Select mobile money payment
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_24,scripted,Tua fa card yi so,Select card payment
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_25,scripted,Hyɛ da a me nsa bɛ ka adeɛ no,Select a delivery date
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_26,scripted,Boa me wɔ adeɛ yi ho,Help me with this product
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_27,scripted,Kyerɛkyerɛ mu ma me,Explain this to me
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_28,scripted,Frɛ mmoafoɔ no,Call customer support
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_29,scripted,Kyerɛ me kwan a mɛfa so atɔ adeɛ,Guide me through purchasing a product
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_30,scripted,Ɛhe na mehu adetɔ ahyehyɛdeɛ?,Where can I find order settings?
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_31,scripted,Adɛn nti na mentumi mfa nto cart no mu?,Why can't I add it to cart?
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_32,scripted,Me werɛ afiri me password no,I have forgotten my password
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_33,scripted,Sasa me address no,Change my address
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_34,scripted,Siesie saa mfomsoɔ yi,Fix this error
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_35,scripted,Mente nea woreka no ase,I don't understand what you are saying
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_36,scripted,Kenkan page yi mu nnoɔma nyinaa,Read everything on this page
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_37,scripted,Yɛ nsɛnkyerɛnne no kɛseɛ,Make the text larger
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_38,scripted,Ma kasa no nkɔ soro,Increase volume
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_39,scripted,Brɛ kasa no ano ase,Speak slower
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_40,scripted,Kyerɛkyerɛ nnoɔma a ɛwɔ mfoni yi mu,Describe the items in the image
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_41,scripted,"Aane, mepene so","Yes, I confirm"
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_42,scripted,"Daabi, gyae","No, stop"
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_43,scripted,Wie me dwadie no,Complete my purchase
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_44,scripted,Yi saa adeɛ yi ma me,Select this product for me
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_45,scripted,Mepɛ sɛ hwɛ saa nnoɔma yi mu biom,I want to review these items again
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_1,scripted,Baako,One
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_2,scripted,Mmienu,Two
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_3,scripted,Mmiɛnsa,Three
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_4,scripted,Ɛnan,Four
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_5,scripted,Enum,Five
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_6,scripted,Mepɛ baako pɛ,I want only one
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_7,scripted,Fa mmienu gu cart no mu,Add two to the cart
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_8,scripted,Yi baako firi mu,Remove one from it
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_9,scripted,Mepɛ adeɛ yi mmiɛnsa,I want three of this item
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_10,scripted,Yi mmienu ka ho,Add two more of it
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_11,scripted,Adeɛ yi boɔ yɛ sɛn?,How much is this product?
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_12,scripted,Kyerɛ me nnoɔma a ɛmmoro sidi ɔha,Show me items under 100 cedis
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_13,scripted,Hwehwɛ nnoɔma a ɛwɔ sidi aduonu ne sidi aduonum ntam,Search for items between 20 and 50 cedis
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_14,scripted,Te boɔ no so ma me,Give me a discount
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_15,scripted,Mɛtua sidi ɔha ne aduasa enum,I will pay one hundred and thirty-five cedis
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_16,scripted,Mepɛ adeɛ no dɔnhwere mmienu ntam,I want the product within two hours
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_17,scripted,Mepɛ express delivery,I want express delivery
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_18,scripted,Nnoɔma no bɛba daben?,When will the product arrive?
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_19,scripted,Mepɛ nnoɔma no ɛnnɛ anɔpa,I want the product this morning
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_20,scripted,Fakɔ same-day delivery no mu,Select same-day delivery
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_21,scripted,Mepɛ ntadeɛ num,I want five clothes
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_22,scripted,Fa telefon mmienu ka ho,Add two phones
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_23,scripted,Mepɛ nnuane ahodoɔ nson,I want seven food packages
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_24,scripted,Fa laptop baako ka ho,Add one laptop to it
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_25,scripted,Mepɛ nnwoma mmienu,I want two books
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_26,scripted,Ɛyɛ Ghana sidi ɔha,It is one hundred Ghana Cedis
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_27,scripted,Ɛyɛ sidi apem ne ahannum,It is one thousand five hundred cedis
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_28,scripted,Tua ɛmu adupɛn aduonu seesei ara.,Pay 20 percent now
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_29,scripted,Mepɛ sɛ metua no mu mprɛnsa,I want to pay in three installments
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_30,scripted,Sika a wɔbɛtua ama wonsa aka yɛ sidi aduonu,The delivery fee is twenty cedis
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_31,scripted,Me dwadeɛ nnoɔma a ɛtɔ dunsia no te sɛn?,What is the status of my order number sixteen?
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_32,scripted,wo nnoɔma no aduru beaeɛ a ɛtɔ so mmienu a yɛre hyehyɛ ama wo,The product is in stage two of processing
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_33,scripted,Wo wɔ nnoɔma enum wɔ wo cart no mu,You have five products in your cart
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_34,scripted,Mepɛ Express Delivery a ɛyɛ sidi aduonum,I want the Express Delivery that costs fifty cedis
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_35,scripted,Mennye ntum sɛ mɛtua sidi ɔha ne aduonu,I don't agree to pay one hundred and twenty cedis
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_36,scripted,Wobɛnya wo nnoɔma no Ɛdwoada,You will get your product on Monday
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_37,scripted,Wonsa beka wo nnoɔma no dɔnhwere mmiɛnsa ntam.,Your product will arrive in three hours
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_38,scripted,Mɛpɛ me dwadie ho abakɔsɛm firi bosome a atwam no mu.,I want my purchase history from last month
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_39,scripted,Hwehwɛ nnoɔma yɛatɔ wɔ nnawɔtwe mmienu a ɛtwa mu,Find products purchased in the past two weeks
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_40,scripted,Twe saa adeɛ yi kɔ akyiri bɛyɛ nna nkron mu,Delay that product for nine days
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_41,scripted,Ma adeɛ yi nsoromma num,Give the product five stars
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_42,scripted,Hwehwɛ adeɛ a wɔama no nsoromma ɛnan,Search for products with four-star ratings
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_43,scripted,Kyerɛ me nsem du a yɛaka afa nnoɔma yi ho,Show me the ten most recent reviews
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_44,scripted,Adeɛ yi mu gyedie ɔha abupɛn  aduowɔtwe,This product has an eighty percent approval rating
ScriptB,Numbers and Quantities for Shopping,"Read these phrases about numbers, quantities, prices, and timing related to online shopping.",ScriptB_45,scripted,Hwehwɛ adeɛ a w'atɔ no bɛyɛ mpɛn apem,Search for products that have been purchased a thousand times
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_1,scripted,Fa me kɔ ntadeɛ beaeɛ ho,Take me to the clothing section
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_2,scripted,Fa me kɔ mfidie beaeɛ ho,Take me to the electronics section
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_3,scripted,Fa me kɔ nnuane beaeɛ ho,Take me to the grocery section
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_4,scripted,Fa me kɔ fie nnoɔma beaeɛ ho,Take me to household items section
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_5,scripted,Fa me kɔ mmofra nnoɔma beaeɛ ho,Take me to kids section
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_6,scripted,Kyerɛ me telefon yi ho nsɛm ne n'adwuma,Show me this phone's specifications
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_7,scripted,Yei yo boɔ  yɛ den dodo,This is too expensive
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_8,scripted,Wowɔ yei wɔ kɔla afoforɔ mu?,Do you have this in other colors?
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_9,scripted,Mepɛ nea ɛso kakra,I want a slightly larger size
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_10,scripted,adeɛ yi yɛ adwuma sɛn?,How does this product work?
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_11,scripted,Fa yei toto yei ho,Compare these two items
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_12,scripted,Kyerɛ me nsonsonoeɛ a ɛda yei ne yei ntam,Show me the difference between this and this
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_13,scripted,Deɛn na ɛyɛ papa wɔ yei ho?,What's better about this one?
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_14,scripted,Deɛ ɛwɔ he na wo pɛ no paa ara?,Which one is most popular?
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_15,scripted,Hwehwɛ adeɛ yi nea ne boɔ wɔ fɔm ma me.,Find similar products at a lower price
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_16,scripted,Fa yei ka me cart ho,Add this to my cart
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_17,scripted,Yi yei firi me cart no mu,Remove this from my cart
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_18,scripted,Sesa aduane no dodoɔ wɔ me cart no mu,Change the quantity of food in my cart
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_19,scripted,Yi me cart no mu nnoɔma nyinaa,Clear all items in my cart
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_20,scripted,Fa me kɔ beaeɛ a metɔ nnoɔma a ɛwɔ me cart no mu nyinaa,Proceed to checkout from this cart
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_21,scripted,Kyerɛ me akwanya ahodoɔ a mɛtumi afaso ɛnya me nnoɔma no,Show me the available delivery options
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_22,scripted,Mepɛ sɛ wode brɛ me ntɛm,I want it delivered quickly
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_23,scripted,Mɛba abɛfa nnoɔma no afiri sotɔɔ no mu.,I'll pick up the product at the store
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_24,scripted,ɛhenfa na yɛde bɛbrɛ me?,Where will it be delivered?
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_25,scripted,Sesa delivery address no,Change the delivery address
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_26,scripted,Mɛtumi de mobile money atua ka?,Can I pay using mobile money?
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_27,scripted,Fa me kɔ beaeɛ a metua ka no,Take me to payment methods
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_28,scripted,Fa kwan a mefaa so tuaeɛ no to hɔ,Save this payment method
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_29,scripted,Tua ka seesei ara.,Pay now
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_30,scripted,Merentua ka seesei ara,I'm not paying now
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_31,scripted,Me nnoɔma no wɔ hen seesei ara?,Where is my product now?
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_32,scripted,Kwan bɛn so na mefa ahunu baabia me nnoɔma no aduru?,How can I track my order?
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_33,scripted,Me nnoɔma no aduru?,Has my order arrived?
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_34,scripted,Me nnoɔma no abɛn anaa?,Is my order close to arriving?
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_35,scripted,Adɛn nti na mensa nya nkaa me nnoɔma no?,Why haven't I received my product yet?
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_36,scripted,Mepɛ sɛ mesan de adeɛ yi ma mo,I want to return this product
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_37,scripted,adeɛ a wɔde brɛɛ me no ayɛ basabasa,The delivered product is damaged
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_38,scripted,Mepɛ sɛ mesesa adeɛ yi,I want to exchange this product
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_39,scripted,Kyerɛ me sɛnea meyi adeɛ yi akɔ,Show me how to return this product
ScriptC,Practical Online Shopping Scenarios,Read these phrases covering common actions when shopping online for various products.,ScriptC_40,scripted,Wobɛtumi ayi sika firi me akaont no mu ama me?,Can you process a refund for me?
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_1,scripted,Me werɛ afi me akaont ho kodeɛ,I've forgotten my account password
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_2,scripted,Boa me ma mensesa me afidie ho nsɛm,Help me change my device information
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_3,scripted,Sakra me phone number wɔ m'akaont no mu,Change my phone number in my account
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_5,scripted,Merepɛ sɛ menya obi a ɔbɛtumi ahwɛ m'akaont,I want to add someone who can manage my account
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_6,scripted,"Sɛ metua sika seesei a, mɛnya atɔ mmara mu aduasa ɔha mu","If I pay now, I'll receive a 30% discount"
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_7,scripted,"Sɛ wo akonhoma no nni sika a, yɛntumi ntɔ adeɛ no","If your card has no money, we cannot purchase the product"
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_8,scripted,Mepɛ sɛ mede m'akyɛdeɛ krataa tua sidi ahannum ne aduasa,I want to use my gift card to pay five hundred and thirty cedis
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_9,scripted,M'akonhoma no wɔagye ho ban wɔ amanɔne adetɔ ho,My card is blocked for international purchases
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_10,scripted,Mɛpɛ sɛ metua sika no nkyekyɛmu mmienu so - mobile money ne akonhoma,I'd like to split the payment - mobile money and card
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_11,scripted,adeɛ no nyɛ adwuma firi nnora,The product hasn't been working since yesterday
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_12,scripted,Wɔde adeɛ a ɛnyɛ me deɛ no ama me,I received a product that's not what I ordered
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_13,scripted,Me hia teknikal mmoa ntɛm ara,I need technical support immediately
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_14,scripted,adeɛ a wɔde maeɛ no annu mu,The product delivered is incomplete
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_15,scripted,Me werɛ aho sɛ adeɛ a metɔeɛ no anyɛ adwuma,I am very sad that the product I bought is not working
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_16,scripted,Fa atadeɛ yi ne mpaboa a ɛfata to ho,Match this clothing with suitable shoes
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_17,scripted,Mepɛ nnoɔma a mede bɛhyehyɛ me dan foforɔ no,I want items to furnish my new room
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_18,scripted,Hwehwɛ aduane mmoawa a mɛtumi de ayɛ apiti anɔpa,Find ingredients I can use to make breakfast
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_19,scripted,Fa nnoɔma a wɔde di aponto gu me cart no mu,Add party supplies to my cart
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_20,scripted,Kyerɛ me nnoɔma a wɔtaa tɔ no abom,Show me items commonly bought together
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_21,scripted,Hwehwɛ telefon a ɛwɔ camera papa nanso ɛnyɛ den,Search for phones with good cameras but not expensive
ScriptD,Complex E-Commerce Interactions,Read these more complex phrases for handling special situations during online shopping.,ScriptD_22,scripted,Kyerɛ me adeɛ a nnipa a wɔtaa tɔ telefon taa hwɛ,Show me products that phone buyers frequently view
